words,sen_len,tree_depth,top_const,tense,subjnum,objnum
more,2,7,1,2,1,2
bottles,2,7,1,2,1,2
of,2,7,1,2,1,2
wine,2,7,1,2,1,2
from,2,7,1,2,1,2
the,2,7,1,2,1,2
cupboard.,2,7,1,2,1,2
People,1,6,2,1,2,1
pat,1,6,2,1,2,1
her,1,6,2,1,2,1
on,1,6,2,1,2,1
her,1,6,2,1,2,1
back,1,6,2,1,2,1
You,1,7,2,1,1,1
must,1,7,2,1,1,1
be,1,7,2,1,1,1
so,1,7,2,1,1,1
proud,1,7,2,1,1,1
of,1,7,2,1,1,1
him,1,7,2,1,1,1
Clara.,1,7,2,1,1,1
She,2,7,2,2,1,1
doesn't,2,7,2,2,1,1
care,2,7,2,2,1,1
anymore,2,7,2,2,1,1
how,2,7,2,2,1,1
much,2,7,2,2,1,1
wine,2,7,2,2,1,1
she'll,2,7,2,2,1,1
serve.,2,7,2,2,1,1
At,1,6,2,1,1,1
least,1,6,2,1,1,1
one,1,6,2,1,1,1
bottle,1,6,2,1,1,1
per,1,6,2,1,1,1
person,1,6,2,1,1,1
these,1,6,2,1,1,1
days.,1,6,2,1,1,1
Inside,2,5,2,2,1,1
the,2,5,2,2,1,1
"cab,",2,5,2,2,1,1
Margaret,2,5,2,2,1,1
holds,2,5,2,2,1,1
onto,2,5,2,2,1,1
her,2,5,2,2,1,1
violin,2,5,2,2,1,1
case.,2,5,2,2,1,1
All,1,5,2,1,1,1
the,1,5,2,1,1,1
way,1,5,2,1,1,1
down,1,5,2,1,1,1
"Columbus,",1,5,2,1,1,1
OK.,1,5,2,1,1,1
She,2,7,1,2,1,2
gives,2,7,1,2,1,2
the,2,7,1,2,1,2
instructions,2,7,1,2,1,2
in,2,7,1,2,1,2
a,2,7,1,2,1,2
pleasant,2,7,1,2,1,2
stiff,2,7,1,2,1,2
voice,2,7,1,2,1,2
and,2,7,1,2,1,2
pulls,2,7,1,2,1,2
out,2,7,1,2,1,2
her,2,7,1,2,1,2
cell.,2,7,1,2,1,2
She,1,5,1,2,1,1
cancels,1,5,1,2,1,1
her,1,5,1,2,1,1
violin,1,5,1,2,1,1
lesson.,1,5,1,2,1,1
The,1,7,2,2,1,1
cab,1,7,2,2,1,1
driver's,1,7,2,2,1,1
eyes,1,7,2,2,1,1
keep,1,7,2,2,1,1
checking,1,7,2,2,1,1
her,1,7,2,2,1,1
out.,1,7,2,2,1,1
She,3,6,1,2,1,1
"pauses,",3,6,1,2,1,1
hits,3,6,1,2,1,1
voicemail.,3,6,1,2,1,1
Alexander's,1,6,1,2,1,1
accent,1,6,1,2,1,1
purrs,1,6,1,2,1,1
in,1,6,1,2,1,1
her,1,6,1,2,1,1
ear.,1,6,1,2,1,1
He's,3,7,1,2,1,1
waiting,3,7,1,2,1,1
for,3,7,1,2,1,1
her.,3,7,1,2,1,1
So,1,6,2,2,1,1
what's,1,6,2,2,1,1
eating,1,6,2,2,1,1
you,1,6,2,2,1,1
princess.,1,6,2,2,1,1
asks,3,5,2,2,1,1
the,3,5,2,2,1,1
cabdriver.,3,5,2,2,1,1
He's,3,5,1,2,1,1
Sikh.,3,5,1,2,1,1
His,1,7,1,2,1,1
turban,1,7,1,2,1,1
blocks,1,7,1,2,1,1
her,1,7,1,2,1,1
view,1,7,1,2,1,1
of,1,7,1,2,1,1
the,1,7,1,2,1,1
asphaltâ€¦,1,7,1,2,1,1
Whatever,1,6,2,2,1,1
it,1,6,2,2,1,1
"is,",1,6,2,2,1,1
tell,1,6,2,2,1,1
your,1,6,2,2,1,1
husband.,1,6,2,2,1,1
Don't,1,6,2,1,1,1
keep,1,6,2,1,1,1
the,1,6,2,1,1,1
stuff,1,6,2,1,1,1
in.,1,6,2,1,1,1
That's,1,7,1,2,1,2
what,1,7,1,2,1,2
gives,1,7,1,2,1,2
people,1,7,1,2,1,2
cancer.,1,7,1,2,1,2
Alexander's,1,6,1,2,1,1
name,1,6,1,2,1,1
vibrates,1,6,1,2,1,1
on,1,6,1,2,1,1
her,1,6,1,2,1,1
phone.,1,6,1,2,1,1
Margaret,2,7,2,2,1,1
texts,2,7,2,2,1,1
him,2,7,2,2,1,1
instead,2,7,2,2,1,1
I'm,2,7,2,2,1,1
running,2,7,2,2,1,1
a,2,7,2,2,1,1
few,2,7,2,2,1,1
minutes,2,7,2,2,1,1
late.,2,7,2,2,1,1
The,2,6,1,2,2,2
eyes,2,6,1,2,2,2
of,2,6,1,2,2,2
the,2,6,1,2,2,2
cabdriver,2,6,1,2,2,2
are,2,6,1,2,2,2
still,2,6,1,2,2,2
there,2,6,1,2,2,2
in,2,6,1,2,2,2
the,2,6,1,2,2,2
mirror,2,6,1,2,2,2
Do,1,5,2,2,1,1
you,1,5,2,2,1,1
have,1,5,2,2,1,1
children,1,5,2,2,1,1
princess.,1,5,2,2,1,1
She,1,7,1,2,1,1
shakes,1,7,1,2,1,1
her,1,7,1,2,1,1
head,1,7,1,2,1,1
"no,",1,7,1,2,1,1
without,1,7,1,2,1,1
thinking.,1,7,1,2,1,1
And,1,7,2,2,1,1
then,1,7,2,2,1,1
she's,1,7,2,2,1,1
terrified,1,7,2,2,1,1
by,1,7,2,2,1,1
what,1,7,2,2,1,1
she's,1,7,2,2,1,1
done.,1,7,2,2,1,1
Denying,3,6,2,1,1,1
Sasha's,3,6,2,1,1,1
existence.,3,6,2,1,1,1
But,1,7,2,2,1,1
it's,1,7,2,2,1,1
too,1,7,2,2,1,1
late,1,7,2,2,1,1
to,1,7,2,2,1,1
undo,1,7,2,2,1,1
it.,1,7,2,2,1,1
You,2,7,2,2,1,1
look,2,7,2,2,1,1
like,2,7,2,2,1,1
someone,2,7,2,2,1,1
who,2,7,2,2,1,1
"should,",2,7,2,2,1,1
says,2,7,2,2,1,1
the,2,7,2,2,1,1
cabdriver,2,7,2,2,1,1
and,2,7,2,2,1,1
is,2,7,2,2,1,1
quiet,2,7,2,2,1,1
the,2,7,2,2,1,1
rest,2,7,2,2,1,1
of,2,7,2,2,1,1
the,2,7,2,2,1,1
way.,2,7,2,2,1,1
She,2,7,2,2,1,1
pays,2,7,2,2,1,1
with,2,7,2,2,1,1
a,2,7,2,2,1,1
"twenty,",2,7,2,2,1,1
as,2,7,2,2,1,1
they,2,7,2,2,1,1
pull,2,7,2,2,1,1
by,2,7,2,2,1,1
the,2,7,2,2,1,1
"fountain,",2,7,2,2,1,1
and,2,7,2,2,1,1
hates,2,7,2,2,1,1
"herself,",2,7,2,2,1,1
because,2,7,2,2,1,1
as,2,7,2,2,1,1
if,2,7,2,2,1,1
to,2,7,2,2,1,1
prove,2,7,2,2,1,1
him,2,7,2,2,1,1
right,2,7,2,2,1,1
she,2,7,2,2,1,1
overtips.,2,7,2,2,1,1
No,2,7,2,2,1,1
art,2,7,2,2,1,1
residencies,2,7,2,2,1,1
for,2,7,2,2,1,1
"us,",2,7,2,2,1,1
Jeannie,2,7,2,2,1,1
laughs,2,7,2,2,1,1
and,2,7,2,2,1,1
nods,2,7,2,2,1,1
at,2,7,2,2,1,1
the,2,7,2,2,1,1
gurgling,2,7,2,2,1,1
boy,2,7,2,2,1,1
on,2,7,2,2,1,1
her,2,7,2,2,1,1
lap.,2,7,2,2,1,1
Tommy,2,7,1,2,1,1
struts,2,7,1,2,1,1
"in,",2,7,1,2,1,1
dangling,2,7,1,2,1,1
his,2,7,1,2,1,1
scotch,2,7,1,2,1,1
by,2,7,1,2,1,1
his,2,7,1,2,1,1
crotch.,2,7,1,2,1,1
He,2,7,1,2,1,1
holds,2,7,1,2,1,1
a,2,7,1,2,1,1
"cracker,",2,7,1,2,1,1
piled,2,7,1,2,1,1
with,2,7,1,2,1,1
over,2,7,1,2,1,1
ripe,2,7,1,2,1,1
brie,2,7,1,2,1,1
and,2,7,1,2,1,1
"jelly,",2,7,1,2,1,1
shoves,2,7,1,2,1,1
it,2,7,1,2,1,1
in,2,7,1,2,1,1
his,2,7,1,2,1,1
wife's,2,7,1,2,1,1
mouth.,2,7,1,2,1,1
She,1,6,2,2,1,1
thankfully,1,6,2,2,1,1
"chews,",1,6,2,2,1,1
like,1,6,2,2,1,1
a,1,6,2,2,1,1
chipmunk.,1,6,2,2,1,1
His,2,6,1,1,1,1
black,2,6,1,1,1,1
faded,2,6,1,1,1,1
t,2,6,1,1,1,1
shirt,2,6,1,1,1,1
walks,2,6,1,1,1,1
towards,2,6,1,1,1,1
the,2,6,1,1,1,1
kitchen.,2,6,1,1,1,1
I'm,1,6,2,2,1,1
an,1,6,2,2,1,1
existentialist,1,6,2,2,1,1
"fatalist,",1,6,2,2,1,1
it,1,6,2,2,1,1
boasts.,1,6,2,2,1,1
Then,3,5,2,2,1,1
he,3,5,2,2,1,1
ducks.,3,5,2,2,1,1
The,2,6,2,2,1,1
Congratulations!,2,6,2,2,1,1
sign,2,6,2,2,1,1
still,2,6,2,2,1,1
hits,2,6,2,2,1,1
him,2,6,2,2,1,1
on,2,6,2,2,1,1
the,2,6,2,2,1,1
back.,2,6,2,2,1,1
One,3,5,2,1,1,1
more,3,5,2,1,1,1
"Tommy,",3,5,2,1,1,1
please!,3,5,2,1,1,1
She's,2,7,2,2,1,1
never,2,7,2,2,1,1
losing,2,7,2,2,1,1
the,2,7,2,2,1,1
baby,2,7,2,2,1,1
weight,2,7,2,2,1,1
that,2,7,2,2,1,1
"way,",2,7,2,2,1,1
Clara,2,7,2,2,1,1
thinks.,2,7,2,2,1,1
But,1,6,2,2,1,1
who,1,6,2,2,1,1
the,1,6,2,2,1,1
fuck,1,6,2,2,1,1
cares.,1,6,2,2,1,1
she's,3,5,1,2,1,1
young.,3,5,1,2,1,1
Clara,2,7,1,2,1,1
looks,2,7,1,2,1,1
at,2,7,1,2,1,1
the,2,7,1,2,1,1
baby,2,7,1,2,1,1
who's,2,7,1,2,1,1
drooling,2,7,1,2,1,1
over,2,7,1,2,1,1
his,2,7,1,2,1,1
hands,2,7,1,2,1,1
and,2,7,1,2,1,1
walks,2,7,1,2,1,1
out,2,7,1,2,1,1
of,2,7,1,2,1,1
the,2,7,1,2,1,1
room.,2,7,1,2,1,1
How,1,7,2,1,1,1
could,1,7,2,1,1,1
you,1,7,2,1,1,1
do,1,7,2,1,1,1
this,1,7,2,1,1,1
to,1,7,2,1,1,1
me.,1,7,2,1,1,1
Clara,3,6,1,2,1,1
hisses,3,6,1,2,1,1
at,3,6,1,2,1,1
Gary.,3,6,1,2,1,1
When,1,7,2,1,1,1
did,1,7,2,1,1,1
you,1,7,2,1,1,1
find,1,7,2,1,1,1
out,1,7,2,1,1,1
about,1,7,2,1,1,1
New,1,7,2,1,1,1
York.,1,7,2,1,1,1
When,1,5,2,1,1,1
did,1,5,2,1,1,1
you,1,5,2,1,1,1
even,1,5,2,1,1,1
apply.,1,5,2,1,1,1
Anger,1,6,1,2,1,1
and,1,6,1,2,1,1
humiliation,1,6,1,2,1,1
are,1,6,1,2,1,1
drowning,1,6,1,2,1,1
her,1,6,1,2,1,1
breath.,1,6,1,2,1,1
And,1,5,2,1,1,1
probably,1,5,2,1,1,1
a,1,5,2,1,1,1
touch,1,5,2,1,1,1
too,1,5,2,1,1,1
much,1,5,2,1,1,1
wine.,1,5,2,1,1,1
But,2,7,2,2,1,1
Gary,2,7,2,2,1,1
is,2,7,2,2,1,1
giddy,2,7,2,2,1,1
and,2,7,2,2,1,1
thrilled,2,7,2,2,1,1
and,2,7,2,2,1,1
sees,2,7,2,2,1,1
nothing,2,7,2,2,1,1
wrong,2,7,2,2,1,1
with,2,7,2,2,1,1
their,2,7,2,2,1,1
lives.,2,7,2,2,1,1
Baby,1,6,2,2,1,1
be,1,6,2,2,1,1
"proud,",1,6,2,2,1,1
he,1,6,2,2,1,1
laughs.,1,6,2,2,1,1
It's,2,7,2,2,2,1
just,2,7,2,2,2,1
for,2,7,2,2,2,1
a,2,7,2,2,2,1
"year,",2,7,2,2,2,1
we'll,2,7,2,2,2,1
work,2,7,2,2,2,1
it,2,7,2,2,2,1
out.,2,7,2,2,2,1
And,2,7,2,2,1,1
what,2,7,2,2,1,1
is,2,7,2,2,1,1
so,2,7,2,2,1,1
sad,2,7,2,2,1,1
he,2,7,2,2,1,1
really,2,7,2,2,1,1
believes,2,7,2,2,1,1
thisâ€¦,2,7,2,2,1,1
Alexander,1,5,1,2,1,1
and,1,5,1,2,1,1
Margaret,1,5,1,2,1,1
walk,1,5,1,2,1,1
down,1,5,1,2,1,1
Broadway.,1,5,1,2,1,1
Margaret,3,5,1,2,1,1
feels,3,5,1,2,1,1
beautiful.,3,5,1,2,1,1
I,2,6,1,1,1,1
quit,2,6,1,1,1,1
my,2,6,1,1,1,1
Wall,2,6,1,1,1,1
Street,2,6,1,1,1,1
job,2,6,1,1,1,1
three,2,6,1,1,1,1
months,2,6,1,1,1,1
ago.,2,6,1,1,1,1
I'm,3,6,1,2,1,1
taking,3,6,1,2,1,1
violin,3,6,1,2,1,1
lessons.,3,6,1,2,1,1
For,3,5,2,2,1,1
"fun,",3,5,2,2,1,1
she,3,5,2,2,1,1
adds.,3,5,2,2,1,1
Alexander,3,5,1,2,1,1
doesn't,3,5,1,2,1,1
respond.,3,5,1,2,1,1
And,1,5,2,1,1,1
Steven,1,5,2,1,1,1
took,1,5,2,1,1,1
early,1,5,2,1,1,1
retirement.,1,5,2,1,1,1
He,1,6,1,1,1,1
did,1,6,1,1,1,1
very,1,6,1,1,1,1
well,1,6,1,1,1,1
with,1,6,1,1,1,1
investments.,1,6,1,1,1,1
She,2,7,2,2,1,1
can,2,7,2,2,1,1
hear,2,7,2,2,1,1
the,2,7,2,2,1,1
pride,2,7,2,2,1,1
in,2,7,2,2,1,1
her,2,7,2,2,1,1
voice,2,7,2,2,1,1
and,2,7,2,2,1,1
she,2,7,2,2,1,1
stops.,2,7,2,2,1,1
Praising,2,7,2,2,1,1
your,2,7,2,2,1,1
private,2,7,2,2,1,1
life,2,7,2,2,1,1
to,2,7,2,2,1,1
a,2,7,2,2,1,1
"lover,",2,7,2,2,1,1
even,2,7,2,2,1,1
a,2,7,2,2,1,1
former,2,7,2,2,1,1
"lover,",2,7,2,2,1,1
feels,2,7,2,2,1,1
wrong.,2,7,2,2,1,1
But,3,6,2,2,1,1
she's,3,6,2,2,1,1
doing,3,6,2,2,1,1
it.,3,6,2,2,1,1
Steven's,3,5,1,2,1,1
a,3,5,1,2,1,1
therapist,3,5,1,2,1,1
now.,3,5,1,2,1,1
Alexander,3,5,1,2,1,1
laughs.,3,5,1,2,1,1
An,2,7,2,2,1,1
ex,2,7,2,2,1,1
banker,2,7,2,2,1,1
who,2,7,2,2,1,1
listens,2,7,2,2,1,1
to,2,7,2,2,1,1
people's,2,7,2,2,1,1
pain,2,7,2,2,1,1
for,2,7,2,2,1,1
a,2,7,2,2,1,1
hobby.,2,7,2,2,1,1
I,1,7,1,1,1,1
thought,1,7,1,1,1,1
you,1,7,1,1,1,1
wanted,1,7,1,1,1,1
a,1,7,1,1,1,1
kid.,1,7,1,1,1,1
Isn't,1,6,2,2,1,1
that,1,6,2,2,1,1
why,1,6,2,2,1,1
you,1,6,2,2,1,1
married.,1,6,2,2,1,1
She's,1,6,1,2,1,1
quiet,1,6,1,2,1,1
for,1,6,1,2,1,1
a,1,6,1,2,1,1
second.,1,6,1,2,1,1
Sasha's,1,7,1,2,1,1
beenâ€¦,1,7,1,2,1,1
a,1,7,1,2,1,1
bit,1,7,1,2,1,1
of,1,7,1,2,1,1
a,1,7,1,2,1,1
handful.,1,7,1,2,1,1
When,1,7,2,2,1,1
she,1,7,2,2,1,1
says,1,7,2,2,1,1
it,1,7,2,2,1,1
it,1,7,2,2,1,1
feels,1,7,2,2,1,1
lame.,1,7,2,2,1,1
She,2,7,2,1,1,1
took,2,7,2,1,1,1
a,2,7,2,1,1,1
year,2,7,2,1,1,1
"off,",2,7,2,1,1,1
did,2,7,2,1,1,1
some,2,7,2,1,1,1
great,2,7,2,1,1,1
journalism,2,7,2,1,1,1
in,2,7,2,1,1,1
West,2,7,2,1,1,1
"Africa,",2,7,2,1,1,1
but,2,7,2,1,1,1
after,2,7,2,1,1,1
she,2,7,2,1,1,1
came,2,7,2,1,1,1
backâ€¦,2,7,2,1,1,1
Alexander,1,7,1,2,1,1
stops,1,7,1,2,1,1
in,1,7,1,2,1,1
front,1,7,1,2,1,1
of,1,7,1,2,1,1
a,1,7,1,2,1,1
storefront.,1,7,1,2,1,1
He's,3,6,1,2,1,1
not,3,6,1,2,1,1
paying,3,6,1,2,1,1
attention.,3,6,1,2,1,1
Margaret,3,5,2,2,1,1
braces,3,5,2,2,1,1
herself,3,5,2,2,1,1
Why,1,6,2,1,1,1
did,1,6,2,1,1,1
you,1,6,2,1,1,1
call,1,6,2,1,1,1
me.,1,6,2,1,1,1
she,3,5,1,2,1,1
asks.,3,5,1,2,1,1
He,1,7,1,2,1,1
"turns,",1,7,1,2,1,1
smiles,1,7,1,2,1,1
at,1,7,1,2,1,1
her.,1,7,1,2,1,1
She's,1,7,1,2,1,1
scared,1,7,1,2,1,1
to,1,7,1,2,1,1
say,1,7,1,2,1,1
more.,1,7,1,2,1,1
And,1,5,2,2,1,1
somehow,1,5,2,2,1,1
she's,1,5,2,2,1,1
also,1,5,2,2,1,1
excited.,1,5,2,2,1,1
Margaret's,1,5,1,2,1,1
phone,1,5,1,2,1,1
vibrates,1,5,1,2,1,1
in,1,5,1,2,1,1
her,1,5,1,2,1,1
purse.,1,5,1,2,1,1
She,1,7,2,2,1,1
knows,1,7,2,2,1,1
it's,1,7,2,2,1,1
Steven,1,7,2,2,1,1
and,1,7,2,2,1,1
she,1,7,2,2,1,1
doesn't,1,7,2,2,1,1
look.,1,7,2,2,1,1
I,2,7,2,2,1,1
don't,2,7,2,2,1,1
want,2,7,2,2,1,1
to,2,7,2,2,1,1
go,2,7,2,2,1,1
back,2,7,2,2,1,1
to,2,7,2,2,1,1
New,2,7,2,2,1,1
"York,",2,7,2,2,1,1
Clara,2,7,2,2,1,1
says,2,7,2,2,1,1
quietly.,2,7,2,2,1,1
The,2,6,2,2,2,2
dishes,2,6,2,2,2,2
from,2,6,2,2,2,2
last,2,6,2,2,2,2
night,2,6,2,2,2,2
are,2,6,2,2,2,2
still,2,6,2,2,2,2
in,2,6,2,2,2,2
the,2,6,2,2,2,2
sink.,2,6,2,2,2,2
Gary,2,7,1,2,1,1
has,2,7,1,2,1,1
a,2,7,1,2,1,1
meeting,2,7,1,2,1,1
with,2,7,1,2,1,1
his,2,7,1,2,1,1
advisors,2,7,1,2,1,1
to,2,7,1,2,1,1
discuss,2,7,1,2,1,1
the,2,7,1,2,1,1
internship.,2,7,1,2,1,1
Of,3,5,2,2,1,1
course,3,5,2,2,1,1
he's,3,5,2,2,1,1
late.,3,5,2,2,1,1
And,2,7,2,1,2,2
now,2,7,2,1,2,2
the,2,7,2,1,2,2
dishes,2,7,2,1,2,2
won't,2,7,2,1,2,2
be,2,7,2,1,2,2
done,2,7,2,1,2,2
until,2,7,2,1,2,2
this,2,7,2,1,2,2
evening.,2,7,2,1,2,2
Crusted,3,5,1,1,1,1
chili.,3,5,1,1,1,1
"Soap,",3,5,2,1,1,1
bubbles.,3,5,2,1,1,1
Scrub!,3,5,2,1,1,1
She's,2,6,1,2,1,1
shopped,2,6,1,2,1,1
and,2,6,1,2,1,1
cooked,2,6,1,2,1,1
and,2,6,1,2,1,1
served,2,6,1,2,1,1
and,2,6,1,2,1,1
now,2,6,1,2,1,1
"dishes,",2,6,1,2,1,1
again.,2,6,1,2,1,1
I'll,2,7,2,2,1,2
do,2,7,2,2,1,2
them,2,7,2,2,1,2
"later,",2,7,2,2,1,2
"Clara,",2,7,2,2,1,2
don't,2,7,2,2,1,2
"fuss,",2,7,2,2,1,2
Gary,2,7,2,2,1,2
says,2,7,2,2,1,2
as,2,7,2,2,1,2
he,2,7,2,2,1,2
flips,2,7,2,2,1,2
over,2,7,2,2,1,2
"tupperware,",2,7,2,2,1,2
newspapers,2,7,2,2,1,2
looking.,2,7,2,2,1,2
You've,3,6,1,2,1,1
seen,3,6,1,2,1,1
my,3,6,1,2,1,1
wallet.,3,6,1,2,1,1
How,1,6,2,2,1,1
long,1,6,2,2,1,1
is,1,6,2,2,1,1
this,1,6,2,2,1,1
internship,1,6,2,2,1,1
Gary.,1,6,2,2,1,1
September,3,5,2,1,1,1
to,3,5,2,1,1,1
June.,3,5,2,1,1,1
Without,3,7,2,1,1,1
getting,3,7,2,1,1,1
paid.,3,7,2,1,1,1
I,2,7,1,1,1,1
can't,2,7,1,1,1,1
afford,2,7,1,1,1,1
to,2,7,1,1,1,1
float,2,7,1,1,1,1
this,2,7,1,1,1,1
whole,2,7,1,1,1,1
place,2,7,1,1,1,1
by,2,7,1,1,1,1
myself.,2,7,1,1,1,1
Gary,2,7,2,2,1,1
heads,2,7,2,2,1,1
to,2,7,2,2,1,1
the,2,7,2,2,1,1
door,2,7,2,2,1,1
I'm,2,7,2,2,1,1
sure,2,7,2,2,1,1
you,2,7,2,2,1,1
can,2,7,2,2,1,1
be,2,7,2,2,1,1
a,2,7,2,2,1,1
journalist,2,7,2,2,1,1
in,2,7,2,2,1,1
New,2,7,2,2,1,1
"York,",2,7,2,2,1,1
too,2,7,2,2,1,1
But,2,6,2,1,1,1
she,2,6,2,1,1,1
just,2,6,2,1,1,1
signed,2,6,2,1,1,1
her,2,6,2,1,1,1
contract,2,6,2,1,1,1
here,2,6,2,1,1,1
and,2,6,2,1,1,1
he,2,6,2,1,1,1
knows,2,6,2,1,1,1
it.,2,6,2,1,1,1
We,2,7,2,1,2,1
should,2,7,2,1,2,1
have,2,7,2,1,2,1
talked,2,7,2,1,2,1
this,2,7,2,1,2,1
move,2,7,2,1,2,1
"through,",2,7,2,1,2,1
before,2,7,2,1,2,1
you,2,7,2,1,2,1
applied.,2,7,2,1,2,1
He,3,5,1,2,1,1
laughs.,3,5,1,2,1,1
You,1,7,1,1,1,1
would,1,7,1,1,1,1
have,1,7,1,1,1,1
talked,1,7,1,1,1,1
me,1,7,1,1,1,1
out,1,7,1,1,1,1
of,1,7,1,1,1,1
it.,1,7,1,1,1,1
For,2,7,2,2,1,1
a,2,7,2,2,1,1
moment,2,7,2,2,1,1
he,2,7,2,2,1,1
looks,2,7,2,2,1,1
like,2,7,2,2,1,1
a,2,7,2,2,1,1
"boy,",2,7,2,2,1,1
getting,2,7,2,2,1,1
caught,2,7,2,2,1,1
and,2,7,2,2,1,1
standing,2,7,2,2,1,1
up,2,7,2,2,1,1
in,2,7,2,2,1,1
defiance.,2,7,2,2,1,1
Almost,3,5,2,1,1,1
charming.,3,5,2,1,1,1
But,1,6,2,2,1,1
he,1,6,2,2,1,1
is,1,6,2,2,1,1
thirty,1,6,2,2,1,1
five.,1,6,2,2,1,1
What's,2,7,2,2,1,1
good,2,7,2,2,1,1
for,2,7,2,2,1,1
me,2,7,2,2,1,1
"Clara,",2,7,2,2,1,1
is,2,7,2,2,1,1
also,2,7,2,2,1,1
good,2,7,2,2,1,1
for,2,7,2,2,1,1
us.,2,7,2,2,1,1
That,1,7,2,1,1,1
certainly,1,7,2,1,1,1
used,1,7,2,1,1,1
to,1,7,2,1,1,1
be,1,7,2,1,1,1
true.,1,7,2,1,1,1
Is,3,5,2,2,1,1
it,3,5,2,2,1,1
now.,3,5,2,2,1,1
Alexander,2,7,2,2,1,1
pays,2,7,2,2,1,1
for,2,7,2,2,1,1
their,2,7,2,2,1,1
hotdogs,2,7,2,2,1,1
with,2,7,2,2,1,1
crumpled,2,7,2,2,1,1
up,2,7,2,2,1,1
dollar,2,7,2,2,1,1
bills,2,7,2,2,1,1
he,2,7,2,2,1,1
pulls,2,7,2,2,1,1
out,2,7,2,2,1,1
of,2,7,2,2,1,1
his,2,7,2,2,1,1
pocket.,2,7,2,2,1,1
New,1,5,2,2,1,1
York,1,5,2,2,1,1
is,1,5,2,2,1,1
the,1,5,2,2,1,1
best.,1,5,2,2,1,1
I'm,1,7,1,2,1,1
so,1,7,1,2,1,1
glad,1,7,1,2,1,1
to,1,7,1,2,1,1
be,1,7,1,2,1,1
back.,1,7,1,2,1,1
The,2,7,2,2,2,2
last,2,7,2,2,2,2
eight,2,7,2,2,2,2
years,2,7,2,2,2,2
have,2,7,2,2,2,2
been,2,7,2,2,2,2
good,2,7,2,2,2,2
to,2,7,2,2,2,2
him.,2,7,2,2,2,2
He,1,6,2,2,1,1
still,1,6,2,2,1,1
has,1,6,2,2,1,1
a,1,6,2,2,1,1
cat,1,6,2,2,1,1
in,1,6,2,2,1,1
his,1,6,2,2,1,1
step.,1,6,2,2,1,1
My,1,6,2,2,1,1
new,1,6,2,2,1,1
apartment,1,6,2,2,1,1
looks,1,6,2,2,1,1
"great,",1,6,2,2,1,1
"Maggie,",1,6,2,2,1,1
he,1,6,2,2,1,1
says.,1,6,2,2,1,1
You'll,2,7,2,2,1,1
see,2,7,2,2,1,1
I,2,7,2,2,1,1
bet,2,7,2,2,1,1
you'll,2,7,2,2,1,1
want,2,7,2,2,1,1
to,2,7,2,2,1,1
move,2,7,2,2,1,1
inâ€¦,2,7,2,2,1,1
Is,1,6,2,2,1,1
this,1,6,2,2,1,1
a,1,6,2,2,1,1
come,1,6,2,2,1,1
on,1,6,2,2,1,1
line.,1,6,2,2,1,1
She,2,7,2,2,1,1
catches,2,7,2,2,1,1
a,2,7,2,2,1,1
glimpse,2,7,2,2,1,1
of,2,7,2,2,1,1
herself,2,7,2,2,1,1
in,2,7,2,2,1,1
a,2,7,2,2,1,1
window,2,7,2,2,1,1
and,2,7,2,2,1,1
is,2,7,2,2,1,1
suddenly,2,7,2,2,1,1
aware,2,7,2,2,1,1
she,2,7,2,2,1,1
should,2,7,2,2,1,1
have,2,7,2,2,1,1
colored,2,7,2,2,1,1
her,2,7,2,2,1,1
hair.,2,7,2,2,1,1
New,2,7,2,2,1,1
York,2,7,2,2,1,1
is,2,7,2,2,1,1
very,2,7,2,2,1,1
glad,2,7,2,2,1,1
you're,2,7,2,2,1,1
backâ€¦,2,7,2,2,1,1
she,2,7,2,2,1,1
says.,2,7,2,2,1,1
The,1,6,1,2,1,1
hot,1,6,1,2,1,1
dog,1,6,1,2,1,1
mustard,1,6,1,2,1,1
drips,1,6,1,2,1,1
on,1,6,1,2,1,1
her,1,6,1,2,1,1
blouse.,1,6,1,2,1,1
Alexander,1,6,1,2,1,1
clears,1,6,1,2,1,1
"it,",1,6,1,2,1,1
licks,1,6,1,2,1,1
his,1,6,1,2,1,1
finger,1,6,1,2,1,1
and,1,6,1,2,1,1
smiles.,1,6,1,2,1,1
His,2,7,2,2,1,1
eyes,2,7,2,2,1,1
land,2,7,2,2,1,1
on,2,7,2,2,1,1
hers,2,7,2,2,1,1
as,2,7,2,2,1,1
she,2,7,2,2,1,1
waits,2,7,2,2,1,1
for,2,7,2,2,1,1
his,2,7,2,2,1,1
words.,2,7,2,2,1,1
I,2,7,2,2,1,1
need,2,7,2,2,1,1
you,2,7,2,2,1,1
to,2,7,2,2,1,1
connect,2,7,2,2,1,1
me,2,7,2,2,1,1
with,2,7,2,2,1,1
your,2,7,2,2,1,1
former,2,7,2,2,1,1
colleagues,2,7,2,2,1,1
on,2,7,2,2,1,1
Wall,2,7,2,2,1,1
"Street,",2,7,2,2,1,1
he,2,7,2,2,1,1
says.,2,7,2,2,1,1
We're,2,7,1,2,2,2
working,2,7,1,2,2,2
on,2,7,1,2,2,2
a,2,7,1,2,2,2
major,2,7,1,2,2,2
piece,2,7,1,2,2,2
on,2,7,1,2,2,2
international,2,7,1,2,2,2
corruption.,2,7,1,2,2,2
It's,3,5,1,2,1,1
Pulitzer,3,5,1,2,1,1
worthy.,3,5,1,2,1,1
Margaret,1,7,1,2,1,1
